Wavelength_nm,Parans 54m,Parans 25m,Fluorescent lamp FL5,Cool white LED,Warm white LED,Daylight through glass,Unfiltered daylight
365,0.0069130780000000005,0.00745116,0.0,0.0,0.0,0.10826360800000001,0.317269
366,0.0070753909999999995,0.0074984,0.0,0.0,0.0,0.11424154980000001,0.3227314
367,0.006932674000000001,0.007360645999999999,0.0,0.0,0.0,0.1202194916,0.3281938
368,0.007075706,0.007653713,0.0,0.0,0.0,0.1261974334,0.3336562
369,0.007256923,0.0077613330000000005,0.0,0.0,0.0,0.1321753752,0.3391186
370,0.00715617,0.007678239,0.0,0.0,0.0,0.138153317,0.34458099999999997
371,0.007184903,0.007790899999999999,0.0,0.0,0.0,0.1377900386,0.3391186
372,0.0072666269999999995,0.007893535,0.0,0.0,0.0,0.1374267602,0.3336562
373,0.007170915,0.007928654,0.0,0.0,0.0,0.1370634818,0.3281938
374,0.007300399999999999,0.008097617,0.0,0.0,0.0,0.1367002034,0.3227314
375,0.007682051999999999,0.008381451,0.0,0.0,0.0,0.136336925,0.317269
376,0.0077830569999999995,0.008527984,0.009175599999999999,0.0,0.0,0.1423874762,0.3280926
377,0.0077774490000000005,0.008625691999999999,0.018351199999999998,0.0,0.0,0.1484380274,0.3389162
378,0.008067673000000001,0.009022187,0.027526799999999997,0.0,0.0,0.15448857859999998,0.3497398
379,0.008438108,0.009305794000000001,0.036702399999999996,0.0,0.0,0.16053912979999999,0.3605634
380,0.008241390999999999,0.00933134,0.045877999999999995,0.0,0.0,0.166589681,0.37138699999999997
381,0.008264012,0.009385433,0.048233399999999996,0.0,0.0,0.1642961106,0.3579478
382,0.008747235,0.009873858000000001,0.050588799999999996,0.0,0.0,0.1620025402,0.3445086
383,0.009386976,0.010430763000000001,0.0529442,0.0,0.0,0.15970896980000002,0.33106939999999996
384,0.009784506,0.011061814,0.0552996,0.0,0.0,0.15741539940000002,0.3176302
385,0.009628808,0.011033548999999998,0.057655,0.0,0.0,0.15512182900000002,0.304191
386,0.009778268,0.011222224,0.0604518,0.0,0.0,0.16948409120000002,0.3226158
387,0.011029205,0.012661614,0.0632486,0.0,0.0,0.18384635340000002,0.3410406
388,0.011655209,0.013398189,0.0660454,0.0,0.0,0.19820861560000003,0.35946540000000005
389,0.01212665,0.01425796,0.06884219999999999,0.0,0.0,0.2125708778,0.3778902
390,0.01340046,0.015773024,0.071639,0.0,0.0,0.22693314,0.39631500000000003
391,0.015448096000000001,0.018418891,0.07423959999999999,0.0,0.0,0.2226843984,0.3825288
392,0.015972339,0.019149008000000002,0.0768402,0.0,0.0,0.21843565680000002,0.36874260000000003
393,0.016971991999999998,0.020348689,0.07944079999999999,0.0,0.0,0.2141869152,0.3549564
394,0.018535144,0.022356086,0.0820414,0.0,0.0,0.2099381736,0.34117020000000003
395,0.023757916,0.028901086,0.084642,0.0,0.0,0.205689432,0.327384
396,0.027927286000000003,0.034107631,0.09273819999999999,0.0,0.0,0.2445255684,0.3789448
397,0.034721023,0.042808430999999994,0.1008344,0.0,0.0,0.2833617048,0.43050560000000004
398,0.043769257,0.054352099,0.1089306,0.0,0.0,0.3221978412,0.4820664
399,0.06549132,0.082166222,0.11702680000000001,0.0,0.0,0.3610339776,0.5336272
400,0.074911313,0.094274046,0.125123,0.0,0.0,0.399870114,0.585188
401,0.08251346799999999,0.10383807099999999,0.1928854,0.0,0.0031969999999999998,0.4081462347,0.5944798
402,0.090794871,0.11391867300000001,0.2606478,0.0,0.0063939999999999995,0.4164223554,0.6037716000000001
403,0.093193661,0.116655055,0.3284102,0.0,0.009590999999999999,0.4246984761,0.6130634
404,0.09474874800000001,0.118356019,0.3961726,0.0,0.012787999999999999,0.4329745968,0.6223552000000001
405,0.096278,0.11989385300000001,0.46393500000000004,0.0,0.015985,0.4412507175,0.6316470000000001
406,0.100625059,0.124558899,0.4005886000000001,0.0031472,0.018636,0.4495268382,0.6355632000000001
407,0.104393686,0.128774774,0.33724220000000005,0.0062944,0.021287,0.4578029589,0.6394794
408,0.108109385,0.133068815,0.2738958,0.009441600000000001,0.023937999999999997,0.4660790796,0.6433956000000001
409,0.11155729199999999,0.136891593,0.21054940000000005,0.0125888,0.026588999999999998,0.4743552003,0.6473118
410,0.11941778800000001,0.14595037,0.147203,0.015736,0.02924,0.482631321,0.651228
411,0.124376044,0.15152339,0.1477428,0.018084,0.0337002,0.4890201537,0.6584534000000001
412,0.129395419,0.15743569699999999,0.14828260000000001,0.020432,0.0381604,0.4954089864,0.6656788
413,0.134238997,0.162890335,0.1488224,0.02278,0.042620599999999995,0.5017978191,0.6729042000000001
414,0.141076211,0.170156389,0.1493622,0.025128,0.04708079999999999,0.5081866518,0.6801296
415,0.144893356,0.17450197399999998,0.149902,0.027476,0.051541,0.5145754845,0.687355
416,0.148425695,0.178064765,0.153533,0.03131,0.060867399999999995,0.5209643172,0.6880198000000001
417,0.154145112,0.18421723399999998,0.157164,0.035144,0.0701938,0.5273531499,0.6886846000000001
418,0.157088308,0.187196611,0.160795,0.038978,0.0795202,0.5337419825999999,0.6893494
419,0.161042815,0.191580712,0.164426,0.042812,0.0888466,0.5401308153,0.6900142
420,0.166087395,0.197018358,0.16805699999999998,0.046646,0.098173,0.546519648,0.690679
421,0.173775243,0.205497686,0.17163899999999999,0.0539878,0.1138894,0.5426581156,0.6920808
422,0.17637692600000002,0.208069239,0.175221,0.0613296,0.1296058,0.5387965832,0.6934826000000001
423,0.179489619,0.211331827,0.178803,0.0686714,0.14532219999999998,0.5349350507999999,0.6948844
424,0.18232569899999998,0.214061978,0.182385,0.0760132,0.16103859999999998,0.5310735183999999,0.6962862
425,0.189471031,0.22146510600000002,0.185967,0.083355,0.176755,0.527211986,0.697688
426,0.192690841,0.224801328,0.1895488,0.0947088,0.19886779999999998,0.5233504536,0.6799134
427,0.19419867,0.22640429999999998,0.19313059999999999,0.1060626,0.2209806,0.5194889212,0.6621388
428,0.192724867,0.223447581,0.1967124,0.1174164,0.2430934,0.5156273887999999,0.6443641999999999
429,0.188447749,0.218202518,0.2002942,0.1287702,0.2652062,0.5117658563999999,0.6265896
430,0.188651901,0.217941964,0.203876,0.140124,0.287319,0.507904324,0.608815
431,0.196349831,0.226449614,0.3631008,0.1536234,0.318191,0.5239188672999999,0.635896
432,0.22296714,0.256073454,0.5223256000000001,0.1671228,0.349063,0.5399334106,0.662977
433,0.235430516,0.270166018,0.6815504,0.1806222,0.379935,0.5559479539,0.6900580000000001
434,0.244636275,0.28047488800000003,0.8407752,0.1941216,0.410807,0.5719624972,0.717139
435,0.254270502,0.290823407,1.0,0.207621,0.441679,0.5879770405,0.74422
436,0.272102328,0.310036421,0.8788028,0.223215,0.4833822,0.6039915838,0.7491331999999999
437,0.276412211,0.314375209,0.7576056,0.238809,0.5250854,0.6200061271,0.7540464
438,0.278642765,0.316374676,0.6364084,0.254403,0.5667886,0.6360206704,0.7589596
439,0.286657635,0.324230941,0.5152112,0.269997,0.6084917999999999,0.6520352137000001,0.7638728
440,0.297835607,0.336210754,0.394014,0.285591,0.650195,0.668049757,0.768786
441,0.311716707,0.35129455600000004,0.365849,0.3028922,0.6960698,0.6846588323,0.7838149999999999
442,0.324526637,0.365205866,0.337684,0.32019339999999996,0.7419446,0.7012679076,0.798844
443,0.342074919,0.383812809,0.309519,0.3374946,0.7878194000000001,0.7178769829,0.813873
444,0.346176869,0.38814593299999994,0.281354,0.3547958,0.8336942,0.7344860582,0.828902
445,0.349825147,0.39134055,0.253189,0.37209699999999996,0.879569,0.7510951335,0.843931
446,0.355609464,0.397316295,0.256084,0.38351499999999994,0.9036552,0.7677042088,0.8595378
447,0.376182225,0.418845973,0.258979,0.394933,0.9277414,0.7843132841,0.8751445999999999
448,0.390057024,0.433499295,0.261874,0.40635099999999996,0.9518276,0.8009223594,0.8907514
449,0.405242431,0.449902859,0.26476900000000003,0.417769,0.9759138,0.8175314347,0.9063581999999999
450,0.42844270799999995,0.473681229,0.267664,0.429187,1.0,0.83414051,0.9219649999999999
451,0.43554393399999997,0.480948416,0.2700684,0.4190316,0.9717744,0.8395654585,0.9216759999999999
452,0.44028858600000004,0.48556475,0.2724728,0.40887619999999997,0.9435488,0.844990407,0.921387
453,0.44343278399999997,0.488011691,0.2748772,0.3987208,0.9153232,0.8504153555,0.9210980000000001
454,0.458177121,0.502897245,0.2772816,0.38856539999999995,0.8870975999999999,0.855840304,0.9208090000000001
455,0.472814341,0.5184794979999999,0.279686,0.37840999999999997,0.858872,0.8612652525,0.9205200000000001
456,0.486317381,0.53266269,0.281796,0.3589964,0.8192722,0.8666902009999999,0.9252888000000001
457,0.504451656,0.550946773,0.283906,0.33958279999999996,0.7796723999999999,0.8721151495,0.9300576
458,0.510393497,0.5567356,0.286016,0.3201692,0.7400726,0.877540098,0.9348264000000001
459,0.516146309,0.562122268,0.288126,0.3007556,0.7004728,0.8829650465000001,0.9395952
460,0.524501433,0.570731873,0.290236,0.281342,0.6608729999999999,0.888389995,0.944364
461,0.549818846,0.596543697,0.2919042,0.26741919999999997,0.6354635999999999,0.890745832,0.944364
462,0.558772565,0.605968949,0.2935724,0.2534964,0.6100542,0.893101669,0.944364
463,0.565388614,0.6122618910000001,0.29524059999999996,0.2395736,0.5846448,0.8954575060000001,0.944364
464,0.568702939,0.614663517,0.2969088,0.2256508,0.5592354,0.897813343,0.944364
465,0.574688888,0.620112491,0.298577,0.21172800000000003,0.533826,0.90016918,0.944364
466,0.579023975,0.623845208,0.29970559999999996,0.20288000000000003,0.5146350000000001,0.902525017,0.9452309999999999
467,0.586931729,0.631531547,0.3008342,0.194032,0.495444,0.904880854,0.946098
468,0.60334583,0.647578265,0.3019628,0.18518400000000002,0.47625300000000004,0.907236691,0.946965
469,0.612167229,0.656250177,0.3030914,0.176336,0.457062,0.909592528,0.947832
470,0.620660975,0.664916425,0.30422,0.167488,0.437871,0.911948365,0.948699
471,0.632903815,0.677326718,0.304907,0.1623156,0.4262212,0.9186892019999999,0.9527454
472,0.6540499670000001,0.69835228,0.305594,0.1571432,0.4145714,0.925430039,0.9567918
473,0.6661289810000001,0.710581318,0.306281,0.1519708,0.4029216,0.932170876,0.9608382
474,0.67583882,0.720550335,0.306968,0.1467984,0.39127179999999995,0.938911713,0.9648846
475,0.68851643,0.732450849,0.307655,0.141626,0.37962199999999996,0.9456525499999999,0.968931
476,0.6958255879999999,0.7394461529999999,0.3078512,0.1397258,0.3745458,0.952393387,0.9741332
477,0.705774865,0.7491319590000001,0.3080474,0.1378256,0.36946959999999995,0.9591342239999999,0.9793354
478,0.71596358,0.7594181720000001,0.3082436,0.1359254,0.3643934,0.965875061,0.9845376
479,0.7374499859999999,0.78047772,0.30843980000000004,0.13402519999999998,0.35931719999999995,0.9726158979999999,0.9897398
480,0.746655745,0.79006157,0.308636,0.132125,0.354241,0.979356735,0.994942
481,0.7537506690000001,0.796790656,0.3083416,0.1312336,0.3544496,0.9762920438,0.9807802
482,0.762950128,0.805502218,0.3080472,0.1303422,0.3546582,0.9732273525999999,0.9666184
483,0.761671025,0.803225203,0.3077528,0.1294508,0.3548668,0.9701626614,0.9524566
484,0.748092373,0.78862286,0.3074584,0.1285594,0.3550754,0.9670979702,0.9382948
485,0.726650074,0.765994324,0.307164,0.127668,0.355284,0.9640332789999999,0.924133
486,0.705730758,0.743059922,0.3069186,0.130008,0.3597604,0.9609685877999999,0.9300577999999999
487,0.7139598629999999,0.7510464640000001,0.3066732,0.13234800000000002,0.36423679999999997,0.9579038966,0.9359826
488,0.7367253709999999,0.774048837,0.30642780000000003,0.134688,0.3687132,0.9548392053999999,0.9419074
489,0.785734539,0.8238486070000001,0.3061824,0.137028,0.3731896,0.9517745141999999,0.9478322
490,0.794392111,0.8324808690000001,0.305937,0.13936800000000002,0.377666,0.948709823,0.953757
491,0.798853218,0.83690462,0.3046122,0.147076,0.3856168,0.9493144099999999,0.960838
492,0.802419584,0.84011623,0.3032874,0.154784,0.39356759999999996,0.9499189969999999,0.967919
493,0.819331464,0.856383852,0.3019626,0.162492,0.4015184,0.9505235839999999,0.9750000000000001
494,0.833785955,0.8709465470000001,0.3006378,0.1702,0.4094692,0.9511281709999999,0.9820810000000001
495,0.84725749,0.883917597,0.299313,0.17790799999999998,0.41741999999999996,0.9517327579999999,0.9891620000000001
496,0.860212344,0.89618062,0.297792,0.18930039999999998,0.42660099999999995,0.9523373449999999,0.9830926000000001
497,0.860369869,0.895767133,0.296271,0.20069279999999998,0.43578199999999995,0.9529419319999999,0.9770232000000001
498,0.8602438490000001,0.894679604,0.29474999999999996,0.21208519999999997,0.444963,0.953546519,0.9709538
499,0.857370593,0.8909695440000001,0.29322899999999996,0.2234776,0.454144,0.954151106,0.9648844
500,0.8504709999999999,0.8825525209999999,0.29170799999999997,0.23487,0.463325,0.954755693,0.958815
501,0.8512712259999999,0.882745105,0.290334,0.2462514,0.4704526,0.9581963086999999,0.9621388
502,0.851712296,0.88230896,0.28896,0.2576328,0.4775802,0.9616369243999999,0.9654626
503,0.8667275759999999,0.8964638309999999,0.287586,0.2690142,0.48470779999999997,0.9650775401,0.9687864
504,0.8792539620000001,0.9084946220000001,0.286212,0.2803956,0.4918354,0.9685181558,0.9721102
505,0.8887747709999999,0.917585685,0.28483800000000004,0.291777,0.498963,0.9719587715,0.975434
506,0.8949434490000001,0.92310263,0.28346420000000006,0.3035858,0.5047853999999999,0.9753993872,0.9781796
507,0.896821146,0.9236350659999999,0.2820904,0.3153946,0.5106078,0.9788400029,0.9809252
508,0.8968526509999999,0.922604179,0.28071660000000004,0.32720340000000003,0.5164302,0.9822806186,0.9836708000000001
509,0.8976528779999999,0.9231819290000001,0.2793428,0.3390122,0.5222526,0.9857212343,0.9864164000000001
510,0.906902744,0.9310551859999999,0.277969,0.350821,0.528075,0.98916185,0.9891620000000001
511,0.905881982,0.9291293540000001,0.27684040000000004,0.3618032,0.5343471999999999,0.9836238091,0.9777458000000001
512,0.901401972,0.924343093,0.2757118,0.3727854,0.5406194,0.9780857682,0.9663296
513,0.8938029679999999,0.915886421,0.2745832,0.3837676,0.5468915999999999,0.9725477272999999,0.9549134
514,0.88220913,0.902252658,0.2734546,0.39474980000000004,0.5531638,0.9670096864,0.9434971999999999
515,0.869953688,0.888981404,0.272326,0.40573200000000004,0.5594359999999999,0.9614716455,0.9320809999999999
516,0.8523676,0.87139402,0.271639,0.4145364,0.5654889999999999,0.9559336046,0.933815
517,0.827774802,0.844749557,0.270952,0.4233408,0.571542,0.9503955637,0.935549
518,0.834245928,0.850872572,0.270265,0.4321452,0.577595,0.9448575227999999,0.937283
519,0.855190448,0.871054167,0.269578,0.4409496,0.5836480000000001,0.9393194818999999,0.939017
520,0.879499701,0.895008128,0.268891,0.449754,0.589701,0.9337814409999999,0.940751
521,0.911943543,0.92638221,0.26894,0.45737099999999997,0.593834,0.9394718827999999,0.9447974
522,0.922025141,0.9362096209999999,0.268989,0.464988,0.597967,0.9451623245999999,0.9488438
523,0.9312245990000001,0.9450741159999999,0.269038,0.472605,0.6021,0.9508527663999999,0.9528902
